family,total,det_03,det_04,det_03_low,det_04_low
alureon,1000,0,0,0,0
banjori,1000,1000,0,1000,0
bedep,1000,748,0,870,140
ccleaner,1000,993,843,999,930
chinad,1000,999,866,1000,981
corebot,1000,994,854,998,932
cryptolocker,1000,384,0,562,0
dircrypt,1000,466,0,575,0
dyre,1000,1000,1000,1000,1000
fobber_v1,1000,825,0,1000,0
fobber_v2,1000,0,0,0,0
gozi_gpl,1000,704,1,917,1
gozi_luther,1000,645,0,930,0
gozi_nasa,991,647,0,903,0
gozi_rfc4343,995,645,0,914,0
kraken_v1,1000,0,0,18,0
kraken_v2,1000,0,0,48,0
locky,1000,281,0,395,0
matsnu,996,274,0,627,0
murofet_v1,1000,997,220,1000,220
murofet_v2,1000,489,0,831,0
murofet_v3,1000,1000,1000,1000,1000
necurs,1000,420,1,511,4
nymaim,1000,245,0,518,0
padcrypt,1000,4,0,774,0
pizd,956,98,0,199,0
proslikefan,1000,0,0,5,0
pushdo,1000,46,0,94,0
pykspa,1000,0,0,42,0
pykspa_noise,1000,0,0,34,0
qadars,1000,908,454,969,746
qakbot,1000,607,25,673,27
ramdo,1000,58,0,958,0
ramnit,1000,363,0,475,1
ranbyus_v1,1000,528,0,528,0
ranbyus_v2,1000,794,0,999,1
rovnix,1000,913,1,998,3
shiotob,1000,865,400,935,586
simda,1000,0,0,6,0
sisron,1000,172,0,444,0
suppobox_1,962,135,0,257,0
suppobox_2,998,18,0,25,0
suppobox_3,1000,449,0,999,0
symmi,1000,64,0,165,0
tempedreve,1000,0,0,0,0
tinba,1000,0,0,138,0
vawtrak_v1,1000,0,0,17,0
vawtrak_v2,1000,0,0,18,0
vawtrak_v3,1000,0,0,7,0
zeus-newgoz,1000,1000,1000,1000,1000
