family,total,detected_at_0.3,detected_at_0.4
alureon,100,0,0
banjori,100,100,0
bedep,100,65,0
ccleaner,100,100,92
chinad,100,100,91
corebot,100,100,83
cryptolocker,100,41,0
dircrypt,100,53,0
dyre,100,100,100
fobber_v1,100,84,0
fobber_v2,100,0,0
gozi_gpl,100,69,0
gozi_luther,100,69,0
gozi_nasa,100,66,0
gozi_rfc4343,100,72,0
kraken_v1,100,0,0
kraken_v2,100,0,0
locky,100,32,0
matsnu,100,29,0
murofet_v1,100,100,24
murofet_v2,100,49,0
murofet_v3,100,100,100
necurs,100,38,0
nymaim,100,24,0
padcrypt,100,0,0
pizd,100,13,0
proslikefan,100,0,0
pushdo,100,3,0
pykspa,100,0,0
pykspa_noise,100,0,0
qadars,100,92,48
qakbot,100,66,1
ramdo,100,7,0
ramnit,100,33,0
ranbyus_v1,100,55,0
ranbyus_v2,100,72,0
rovnix,100,93,1
shiotob,100,86,48
simda,100,0,0
sisron,100,28,0
suppobox_1,100,13,0
suppobox_2,100,1,0
suppobox_3,100,38,0
symmi,100,4,0
tempedreve,100,0,0
tinba,100,0,0
vawtrak_v1,100,0,0
vawtrak_v2,100,0,0
vawtrak_v3,100,0,0
zeus-newgoz,100,100,100
