Linux 6.18.12+kali-amd64 (kali) 	06/04/2026 	_x86_64_	(4 CPU)

06:24:29 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
06:24:31 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:24:33 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:24:35 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:24:37 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:24:39 AM     0    180443    0.00    0.00    0.00    0.00    0.00     0  dns-firewall
06:24:41 AM     0    180443    0.00   10.45    0.00    0.00   10.45     0  dns-firewall
06:24:43 AM     0    180443    2.00    6.00    0.00    0.00    8.00     0  dns-firewall
06:24:45 AM     0    180443    0.50    4.50    0.00    0.50    5.00     0  dns-firewall
06:24:47 AM     0    180443    0.50    5.00    0.00    0.00    5.50     1  dns-firewall
06:24:49 AM     0    180443    0.50    5.00    0.00    0.00    5.50     2  dns-firewall
06:24:51 AM     0    180443    1.00    5.00    0.00    0.00    6.00     2  dns-firewall
06:24:53 AM     0    180443    0.50    5.00    0.00    0.50    5.50     2  dns-firewall
06:24:55 AM     0    180443    0.50    5.00    0.00    0.00    5.50     3  dns-firewall
06:24:57 AM     0    180443    0.50    5.00    0.00    0.00    5.50     3  dns-firewall
06:24:59 AM     0    180443    0.50    4.50    0.00    0.50    5.00     2  dns-firewall
06:25:01 AM     0    180443    0.00    5.00    0.00    0.00    5.00     2  dns-firewall
06:25:03 AM     0    180443    0.00    5.00    0.00    0.00    5.00     2  dns-firewall
06:25:05 AM     0    180443    0.50    4.50    0.00    0.50    5.00     2  dns-firewall
06:25:07 AM     0    180443    0.50    5.50    0.00    0.00    6.00     3  dns-firewall
06:25:09 AM     0    180443    0.50    5.00    0.00    0.00    5.50     2  dns-firewall
06:25:11 AM     0    180443    0.50    5.50    0.00    0.00    6.00     2  dns-firewall
06:25:13 AM     0    180443    0.50    5.00    0.00    0.50    5.50     3  dns-firewall
06:25:15 AM     0    180443    0.50    5.00    0.00    0.00    5.50     2  dns-firewall
06:25:17 AM     0    180443    0.50    5.00    0.00    0.00    5.50     2  dns-firewall
06:25:19 AM     0    180443    0.50    5.00    0.00    0.00    5.50     2  dns-firewall
06:25:21 AM     0    180443    0.50    5.00    0.00    0.00    5.50     2  dns-firewall
06:25:23 AM     0    180443    0.50    5.00    0.00    0.00    5.50     3  dns-firewall
06:25:25 AM     0    180443    0.50    5.00    0.00    0.50    5.50     3  dns-firewall
06:25:27 AM     0    180443    0.50    4.48    0.00    0.00    4.98     3  dns-firewall
06:25:29 AM     0    180443    0.50    4.50    0.00    0.00    5.00     0  dns-firewall
06:25:31 AM     0    180443    0.50    5.50    0.00    0.00    6.00     0  dns-firewall
06:25:33 AM     0    180443    0.50    5.50    0.00    0.50    6.00     0  dns-firewall
06:25:35 AM     0    180443    0.50    5.00    0.00    0.00    5.50     1  dns-firewall
06:25:37 AM     0    180443    0.50    5.50    0.00    0.00    6.00     1  dns-firewall
06:25:39 AM     0    180443    0.50    5.00    0.00    0.00    5.50     0  dns-firewall
06:25:41 AM     0    180443    0.50    5.50    0.00    0.00    6.00     0  dns-firewall
06:25:43 AM     0    180443    0.50    5.50    0.00    0.50    6.00     0  dns-firewall
06:25:45 AM     0    180443    0.50    5.00    0.00    0.00    5.50     1  dns-firewall
06:25:47 AM     0    180443    0.50    5.50    0.00    0.00    6.00     1  dns-firewall
06:25:49 AM     0    180443    0.50    5.00    0.00    0.00    5.50     0  dns-firewall
06:25:51 AM     0    180443    0.50    5.50    0.00    0.00    6.00     0  dns-firewall
06:25:53 AM     0    180443    0.00    5.50    0.00    0.50    5.50     0  dns-firewall
06:25:55 AM     0    180443    0.00    6.00    0.00    0.00    6.00     1  dns-firewall
06:25:57 AM     0    180443    0.00    6.00    0.00    0.00    6.00     0  dns-firewall
06:25:59 AM     0    180443    0.00    6.00    0.00    0.00    6.00     1  dns-firewall
06:26:01 AM     0    180443    0.00    5.50    0.00    0.00    5.50     0  dns-firewall
06:26:03 AM     0    180443    0.00    5.50    0.00    0.50    5.50     3  dns-firewall
